Date,Open,High,Low,Close,Adj Close,Volume
2024-03-01,329.5,332.5,324.5,330.5,330.5,2617
2024-03-04,332.0,334.5,329.5,332.5,332.5,3278
2024-03-05,331.5,336.5,331.5,333.5,333.5,2641
2024-03-06,333.5,336.0,327.5,335.0,335.0,3746
2024-03-07,335.0,338.0,332.5,334.0,334.0,1917
2024-03-08,332.0,333.0,330.0,330.0,330.0,2879
2024-03-11,329.5,330.0,327.5,329.5,329.5,2099
2024-03-12,330.5,331.0,327.5,330.5,330.5,4029
2024-03-13,331.5,335.5,329.0,332.0,332.0,3843
2024-03-14,338.0,356.5,338.0,351.0,351.0,13277
2024-03-15,342.0,342.0,323.0,336.0,336.0,7309
2024-03-18,337.0,337.5,332.0,332.0,332.0,3914
2024-03-19,333.0,337.0,326.5,335.5,335.5,3083
2024-03-20,334.0,337.5,331.5,331.5,331.5,2086
2024-03-21,333.5,334.0,329.0,329.0,329.0,3034
2024-03-22,329.0,337.0,328.0,334.0,334.0,6482
2024-03-25,335.0,338.5,330.0,331.0,331.0,2657
2024-03-26,331.0,332.5,329.5,330.0,330.0,5946
2024-03-27,330.5,343.5,330.5,341.5,341.5,5697
2024-03-28,343.0,354.0,343.0,353.5,353.5,7664
2024-04-02,353.5,356.0,343.5,343.5,343.5,4874
2024-04-03,343.5,349.5,343.0,348.0,348.0,2504
2024-04-04,350.0,352.5,348.5,350.5,350.5,2081
2024-04-05,347.0,347.0,342.5,346.0,346.0,2090
2024-04-08,346.0,348.0,344.5,344.5,344.5,1766
2024-04-09,345.0,345.0,332.5,334.0,334.0,3033
2024-04-10,335.0,335.5,326.5,329.0,329.0,1672
2024-04-11,328.0,329.5,323.5,327.0,327.0,3124
2024-04-12,327.5,338.0,327.5,332.5,332.5,4041
2024-04-15,332.5,338.5,332.5,333.5,333.5,2411
2024-04-16,332.0,335.0,330.0,334.0,334.0,3316
2024-04-17,336.0,339.5,335.5,336.5,336.5,5076
2024-04-18,338.0,340.5,336.5,337.5,337.5,2409
2024-04-19,337.0,339.5,328.5,338.0,338.0,14678
2024-04-22,338.5,340.5,336.0,336.0,336.0,6443
2024-04-23,336.0,339.0,334.0,337.5,337.5,3993
2024-04-24,340.0,350.0,340.0,348.5,348.5,5465
2024-04-25,348.5,354.5,341.0,342.0,342.0,9078
2024-04-26,342.0,346.0,337.5,342.5,342.5,3940
2024-04-29,342.0,346.5,341.0,346.0,346.0,1689
2024-04-30,347.0,348.0,344.5,346.0,346.0,2109
2024-05-02,347.5,347.5,338.0,340.0,340.0,3385
2024-05-03,340.0,346.0,339.0,343.5,343.5,2113
2024-05-06,343.0,345.0,340.0,345.0,345.0,949
2024-05-07,345.5,349.5,344.5,349.5,349.5,2186
2024-05-08,349.0,364.0,349.0,364.0,364.0,5231
2024-05-09,363.5,370.0,363.5,369.0,369.0,2236
2024-05-10,369.0,375.0,366.0,368.0,368.0,4737
2024-05-13,367.0,374.0,367.0,372.0,372.0,1688
2024-05-14,372.5,375.5,370.5,375.0,375.0,5668
2024-05-15,382.0,383.5,374.0,383.5,383.5,8544
2024-05-16,384.0,384.0,378.5,382.0,382.0,5440
2024-05-17,382.0,383.5,377.0,377.0,377.0,3543
2024-05-20,378.0,381.0,374.5,374.5,374.5,1415
2024-05-21,373.5,378.0,369.5,378.0,378.0,2518
2024-05-22,377.0,380.0,374.0,378.0,378.0,1106
2024-05-23,378.0,388.5,378.0,386.0,386.0,2807
2024-05-24,386.0,394.0,385.0,394.0,394.0,3932
2024-05-27,402.5,404.5,392.0,399.0,399.0,4941
2024-05-28,399.0,399.0,393.5,394.5,394.5,2569
2024-05-29,393.0,395.0,387.5,390.0,390.0,3055
2024-05-30,389.0,394.5,387.0,394.5,394.5,2714
2024-05-31,395.0,406.5,395.0,405.5,405.5,8384
2024-06-03,406.0,406.0,393.0,396.0,396.0,3045
2024-06-04,396.0,399.5,393.5,395.5,395.5,4118
2024-06-05,395.5,401.5,395.0,399.5,399.5,3137
2024-06-06,399.5,402.5,396.5,399.0,399.0,3213
2024-06-07,398.0,402.0,392.5,402.0,402.0,3211
2024-06-10,398.0,398.0,393.0,397.0,397.0,4335
2024-06-11,394.5,395.5,384.0,386.5,386.5,5326
2024-06-12,385.0,388.5,381.0,388.5,388.5,7531
2024-06-13,388.0,388.0,365.0,367.0,367.0,5875
2024-06-14,360.0,360.0,341.5,348.5,348.5,12278
2024-06-17,348.0,359.0,347.0,357.5,357.5,6049
2024-06-18,360.0,365.5,360.0,364.5,364.5,2307
2024-06-19,364.0,372.5,364.0,371.5,371.5,2742
2024-06-20,371.0,380.0,370.0,376.0,376.0,2559
2024-06-21,376.5,381.0,373.0,373.0,373.0,8390
2024-06-24,373.0,384.5,371.0,384.0,384.0,3460
2024-06-25,382.0,383.5,369.0,371.5,371.5,3218
2024-06-26,372.5,378.0,364.0,364.5,364.5,4549
2024-06-27,364.0,365.5,353.0,362.0,362.0,6509
2024-06-28,361.0,364.0,344.5,351.5,351.5,9295
2024-07-01,361.5,372.0,361.5,372.0,372.0,4951
2024-07-02,374.5,388.0,369.0,381.5,381.5,4044
2024-07-03,386.0,397.5,385.0,391.5,391.5,3860
2024-07-04,393.5,399.5,391.0,397.5,397.5,3745
2024-07-05,398.0,403.0,391.0,391.0,391.0,6196
2024-07-08,390.0,393.5,385.0,391.5,391.5,2729
2024-07-09,390.0,394.0,379.5,379.5,379.5,2072
2024-07-10,379.0,389.5,378.0,385.5,385.5,1948
2024-07-11,387.0,400.5,385.0,397.5,397.5,2183
2024-07-12,396.0,400.5,393.0,397.0,397.0,1848
2024-07-15,397.0,400.0,396.0,398.0,398.0,1897
2024-07-16,399.0,408.5,397.5,403.0,403.0,3415
2024-07-17,407.0,408.5,403.0,404.5,404.5,2290
2024-07-18,405.0,408.0,402.0,406.5,406.5,1771
2024-07-19,406.0,413.5,403.0,407.5,407.5,3641
2024-07-22,408.0,422.0,407.5,414.5,414.5,2960
2024-07-23,450.0,459.5,426.5,436.5,436.5,8508
2024-07-24,435.5,435.5,426.5,429.5,429.5,2717
2024-07-25,426.0,439.0,419.0,439.0,439.0,3650
2024-07-26,434.5,444.5,434.5,443.5,443.5,3044
2024-07-29,455.5,455.5,441.0,441.0,441.0,4074
2024-07-30,441.0,444.0,437.0,440.0,440.0,3915
2024-07-31,440.0,447.0,435.5,447.0,447.0,3617
2024-08-01,447.0,447.0,433.0,433.0,433.0,2545
2024-08-02,432.5,439.0,427.0,428.0,428.0,3084
2024-08-05,421.0,421.0,406.0,419.5,419.5,6951
2024-08-06,419.5,426.0,415.0,422.0,422.0,3037
2024-08-07,424.0,432.5,422.5,430.0,430.0,2074
2024-08-08,427.0,427.0,411.5,420.0,420.0,4555
2024-08-09,420.5,435.5,418.5,430.0,430.0,2246
2024-08-12,430.0,437.0,430.0,433.0,433.0,1669
2024-08-13,432.5,437.0,426.0,437.0,437.0,1596
2024-08-14,438.0,442.0,435.5,442.0,442.0,2350
2024-08-15,443.5,447.5,441.0,447.5,447.5,2231
2024-08-16,447.5,453.5,444.5,453.0,453.0,5389
2024-08-19,460.0,465.0,451.0,458.0,458.0,3036
2024-08-20,459.0,465.5,457.0,460.0,460.0,2285
2024-08-21,460.0,465.0,460.0,465.0,465.0,1510
2024-08-22,465.0,466.0,455.0,456.5,456.5,3321
2024-08-23,456.0,459.0,452.0,455.0,455.0,1475
2024-08-26,455.0,461.0,452.5,460.5,460.5,1037
2024-08-27,459.5,460.5,448.5,452.0,452.0,2559
2024-08-28,452.0,453.0,448.5,449.0,449.0,1851
